model,with_features,nc_test_size,Beta_s,gamma_s,Ns_obs,kmean_s,gamma_n,kmean_n,gamma_f,N_f,Beta_bi,nu,alpha,N_labels,accuracy
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,-1.0,10.0,16.281686203804252
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,1.0,2.0,69.10811931353231
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,1.0,3.0,55.60022858038421
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,1.0,6.0,42.112950808797976
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,1.0,10.0,37.21496284712864
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,5.0,2.0,88.79478218704313
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,5.0,3.0,84.85420384693813
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,5.0,6.0,79.11381568660431
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,5.0,10.0,76.94678279969992
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,10.0,2.0,90.76362806732405
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,10.0,3.0,87.89863891053615
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,10.0,6.0,86.36534803270231
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,2.1,2000.0,3.0,0.0,10.0,10.0,84.02685815324338
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,-1.0,2.0,66.04729636102287
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,-1.0,3.0,48.79289849231786
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,-1.0,6.0,25.919650413403
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,-1.0,10.0,15.760848483967518
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,1.0,2.0,68.10167570391482
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,1.0,3.0,57.4606881570347
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,1.0,6.0,40.8729540044428
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,1.0,10.0,33.538176006181445
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,5.0,2.0,85.43613975311385
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,5.0,3.0,83.27301523471293
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,5.0,6.0,75.70226990876435
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,5.0,10.0,76.80220464649412
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,10.0,2.0,92.62984524202986
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,10.0,3.0,89.47250487128879
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,10.0,6.0,84.36924940517585
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,1.1,0.0,10.0,10.0,77.81908357776233
