model,Beta_s,gamma_s,Ns_obs,kmean_s,gamma_n,kmean_n,gamma_f,N_f,Beta_bi,nu,alpha,N_labels,with_features,nc_test_size,i,accuracy
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,10,2,1,0.7,4.5,91.914
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,10,3,1,0.7,4.5,90.59700000000001
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,10,6,1,0.7,4.5,90.423
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,5,10,1,0.7,4.5,81.572
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,5,2,1,0.7,4.5,90.709
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,5,3,1,0.7,4.5,87.137
SGFormer,1.1,2.1,5000,3,2.1,30,2.1,2000,3,0.0,5,6,1,0.7,4.5,83.33500000000001
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,-1,10,1,0.7,4.5,16.772
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,-1,2,1,0.7,4.5,67.575
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,-1,3,1,0.7,4.5,50.013
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,-1,6,1,0.7,4.5,26.976999999999997
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,1,10,1,0.7,4.5,38.744
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,1,2,1,0.7,4.5,69.23
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,1,3,1,0.7,4.5,58.614
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,1,6,1,0.7,4.5,42.575
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,10,10,1,0.7,4.5,84.275
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,10,2,1,0.7,4.5,95.2
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,10,3,1,0.7,4.5,92.521
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,10,6,1,0.7,4.5,88.775
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,5,10,1,0.7,4.5,82.575
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,5,2,1,0.7,4.5,87.388
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,5,3,1,0.7,4.5,85.442
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,1.1,0.0,5,6,1,0.7,4.5,80.098
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,-1,10,1,0.7,4.5,16.199
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,-1,2,1,0.7,4.5,68.119
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,-1,3,1,0.7,4.5,49.272000000000006
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,-1,6,1,0.7,4.5,25.981
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,1,10,1,0.7,4.5,39.955
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,1,2,1,0.7,4.5,67.86
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,1,3,1,0.7,4.5,54.125
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,1,6,1,0.7,4.5,45.262
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,10,10,1,0.7,4.5,87.429
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,10,2,1,0.7,4.5,92.66799999999999
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,10,3,1,0.7,4.5,93.12
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,10,6,1,0.7,4.5,89.525
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,5,10,1,0.7,4.5,80.166
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,5,2,1,0.7,4.5,87.005
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,5,3,1,0.7,4.5,85.724
SGFormer,1.1,2.1,5000,3,2.1,30,3.5,2000,3,0.0,5,6,1,0.7,4.5,84.868
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,-1,10,1,0.7,4.5,15.857
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,-1,2,1,0.7,4.5,67.556
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,-1,3,1,0.7,4.5,48.317
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,-1,6,1,0.7,4.5,25.36
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,1,10,1,0.7,4.5,37.107
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,1,2,1,0.7,4.5,65.057
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,1,3,1,0.7,4.5,57.176
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,1,6,1,0.7,4.5,42.229
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,10,10,1,0.7,4.5,80.987
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,10,2,1,0.7,4.5,87.001
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,10,3,1,0.7,4.5,85.693
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,10,6,1,0.7,4.5,85.613
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,5,10,1,0.7,4.5,76.84700000000001
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,5,2,1,0.7,4.5,81.53
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,5,3,1,0.7,4.5,83.279
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,1.1,0.0,5,6,1,0.7,4.5,75.024
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,-1,10,1,0.7,4.5,16.0
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,-1,2,1,0.7,4.5,68.785
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,-1,3,1,0.7,4.5,49.454
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,-1,6,1,0.7,4.5,26.976999999999997
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,1,10,1,0.7,4.5,37.374
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,1,2,1,0.7,4.5,65.519
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,1,3,1,0.7,4.5,54.839
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,1,6,1,0.7,4.5,44.08
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,10,10,1,0.7,4.5,85.696
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,10,2,1,0.7,4.5,93.768
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,10,3,1,0.7,4.5,86.008
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,10,6,1,0.7,4.5,87.091
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,5,10,1,0.7,4.5,78.874
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,5,2,1,0.7,4.5,88.17999999999999
